"max(`INSPECTION DATE`)",Number_of_violations,AIRPORT
21/11/2016,75,GSO
21/11/2015,26,ORF
21/11/2014,52,ITO
21/11/2013,11,MBS
21/10/2016,63,ABE
21/10/2015,89,ABI
21/10/2014,79,ABI
21/10/2013,13,ABE
21/09/2016,112,ABE
21/09/2015,61,SCE
21/09/2013,3,DIK
21/08/2017,101,ABI
21/08/2015,40,DVL
21/08/2014,77,GCC
21/08/2013,2,YUM
21/07/2017,63,ABE
21/07/2016,83,BET
21/07/2015,74,ABE
21/07/2014,46,ABE
21/06/2017,94,ABE
21/06/2016,77,OTH
21/06/2015,1,KTN
21/06/2014,27,CIU
21/05/2016,21,TTN
21/05/2015,113,ABE
21/05/2014,46,HRL
21/04/2017,36,ABE
21/04/2016,84,JNU
21/04/2015,119,ABE
21/04/2014,32,ABI
21/03/2017,100,ABI
21/03/2016,81,ABE
21/03/2015,11,GFK
21/03/2014,22,MHK
21/02/2017,75,ABE
21/02/2016,6,ABI
21/02/2015,10,MSN
21/02/2014,20,ABE
21/01/2017,17,SRQ
21/01/2016,97,ABE
21/01/2015,88,ABE
21/01/2014,14,ABI
20/12/2016,57,ABE
20/12/2015,4,MSP
20/12/2014,9,GCK
20/12/2013,7,COU
20/11/2015,52,MKG
20/11/2014,106,ABI
20/11/2013,24,ABE
20/10/2016,88,ABE
20/10/2015,59,ABI
20/10/2014,63,ABE
20/09/2016,84,ABI
20/09/2014,14,MGM
20/09/2013,4,NULL
20/08/2016,11,NULL
20/08/2015,94,ABI
20/08/2014,95,ABI
20/08/2013,5,DLG
20/07/2017,126,ABI
20/07/2016,69,ABI
20/07/2015,71,ABE
20/06/2017,88,ABI
20/06/2016,71,ABI
20/06/2015,9,SIT
20/06/2014,35,IMT
20/06/2013,2,NULL
20/05/2017,1,SAV
20/05/2016,59,RDU
20/05/2015,117,ABE
20/05/2014,36,ABI
20/04/2017,81,ABE
20/04/2016,71,ABE
20/04/2015,71,ABE
20/03/2017,74,ABE
20/03/2016,8,TTN
20/03/2015,60,ABI
20/03/2014,25,DFW
20/02/2016,42,GNV
20/02/2015,40,SIT
20/02/2014,32,ABE
20/01/2017,35,ABE
20/01/2016,74,ABE
20/01/2015,102,ABE
2/12/2016,42,ABI
2/12/2015,61,EGE
2/12/2014,96,ABE
2/12/2013,8,WRG
2/11/2016,104,ABI
2/11/2015,55,CRW
2/11/2013,2,CPR
2/10/2016,2,AVL
2/10/2015,37,EWR
2/10/2014,64,ECP
2/10/2013,6,DLG
2/09/2016,55,ABE
2/09/2015,92,ABE
2/09/2014,89,ABE
2/08/2017,120,ABE
2/08/2016,87,ABE
2/08/2015,1,DHN
2/08/2014,15,MEM
2/08/2013,2,DTW
2/07/2016,3,NULL
2/07/2015,6,TLH
2/07/2014,57,MOT
2/06/2017,46,ABI
2/06/2016,88,ABI
2/06/2015,99,ABE
2/06/2014,49,DFW
