user,bookmarks,county,state,grams,cal,cal_fat,col,fiber,sodium,carbs,fat,protein,sugar,cal_n,cal_fat_n,carbs_n,col_n,fat_n,fiber_n,protein_n,sodium_n,sugar_n,saturated_fat_n,carbs_w,fat_w,fiber_w,protein_w,sodium_w,sugar_w,saturated_fat_w,diabetis,obese
2,49,Stutsman, North Dakota,369.244898,232.5459617,190.2040816,0.067387755,2.53877551,0.796979592,28.36122449,21.12857143,17.02857143,11.06734694,191.0750341,101.3454673,15.71360817,0.031391162,11.24921356,1.081353155,6.995192001,0.356888817,7.695939332,4.496938749,33.008577,49.75303343,0.30223518,17.23838957,0.094878523,14.29582189,20.03353928,8.9,30.2
2,76,Sublette, Wyoming,303.2763158,211.4518006,165.1315789,0.065039474,2.297368421,0.606394737,18.02105263,18.35394737,16.58289474,5.015789474,162.7285114,93.91660388,10.21529191,0.03308613,10.43549364,1.073240313,7.206832643,0.322051702,3.240536133,3.993773055,26.3167154,54.14029914,0.273496241,19.54298546,0.07218985,7.941392411,20.56977562,6.3,20.7
143,3211,Suffolk, Massachusetts,337.6742448,221.8384649,158.9109312,0.064718468,2.593459981,0.648477733,29.28330738,17.65521644,15.79682342,10.32120835,193.4175033,94.45179858,18.26344466,0.034515523,10.48772546,1.326147741,7.030601913,0.368283407,7.87904872,3.996676786,37.62482235,44.49642119,0.308745236,17.84761351,0.07719973,14.59058339,16.63597127,7.6,20.6
88,2304,Suffolk, New York,346.421875,223.6202791,162.3706597,0.066388455,2.529123264,0.644890191,29.88350694,18.04040799,16.43897569,10.49027778,195.8499054,93.30251712,18.74973855,0.034157373,10.35919316,1.286110916,7.378748028,0.321549354,8.09257248,3.93902688,37.18991427,44.35647018,0.301086103,18.45361554,0.076772642,14.44204587,16.32708595,8.3,22.8
1,100,Sullivan, Indiana,367.76,209.9360371,179.02,0.08418,2.221,0.5979,31.655,19.879,16.275,11.387,223.3921768,103.0824044,23.43831473,0.043021374,11.44012715,1.140035387,7.352242348,0.330377419,11.49948929,4.896365737,38.58685925,45.10861823,0.264404762,16.30452252,0.071178571,16.17407896,19.08283823,12.9,33
4,66,Sullivan, New Hampshire,304.5,185.2394574,139.1969697,0.046409091,2.253030303,0.515818182,31.70909091,15.46818182,10.71515152,12.65909091,230.5031523,100.9484727,27.75120107,0.029196688,11.20168147,1.392243197,5.813756284,0.321214679,14.22255995,4.252275729,50.0658871,38.10911294,0.268217893,11.82499996,0.061406926,23.52862388,14.4069259,9.8,28.2
9,86,Sullivan, New York,316.2209302,168.5903636,148.8604651,0.056406977,2.181395349,0.46394186,30.31162791,16.5372093,12.13023256,13.42209302,247.9817258,119.226286,27.03457311,0.039092344,13.23305586,1.544789679,6.273373785,0.399553856,13.99091736,5.128994642,42.02894656,44.90071774,0.259689922,13.0703357,0.055231174,19.08292241,17.86255017,10.9,30.7
16,430,Sullivan, Tennessee,343.2930233,204.2419413,166.6883721,0.063855814,2.278372093,0.614113953,30.02767442,18.51697674,14.50534884,12.55604651,227.2788255,111.8088373,22.65477417,0.038296285,12.4156726,1.229182802,6.773789192,0.310181605,11.41038974,4.848520896,38.02636618,46.59219447,0.271234773,15.38143935,0.073108804,17.63876832,17.82514085,14.6,31.2
1,7,Summers, West Virginia,222.2857143,220.3709708,144.5714286,0.028285714,2.585714286,0.940714286,13.1,16.07142857,7.785714286,6.428571429,127.8342819,86.97346725,7.203000923,0.013260929,9.656541748,1.351327127,3.763099194,0.585351369,3.507609987,2.823760953,29.45479938,58.88292521,0.307823129,11.66227541,0.111989796,13.83080354,22.0268213,14.6,37.7
10,303,Summit, Colorado,356.7689769,249.0380405,168.2772277,0.077729373,2.745214521,0.697844884,26.65973597,18.69735974,20.69108911,6.802310231,168.7997188,83.72440375,13.08251735,0.035643809,9.299623696,1.291080199,8.519187903,0.341963847,4.072565455,3.53740205,31.44044,45.6762123,0.326811253,22.88334771,0.083076772,9.07337468,16.89529546,4,12.5
77,1585,Summit, Ohio,341.5501577,223.3189849,161.1337539,0.067628391,2.810410095,0.631796845,29.9873817,17.90094637,15.69047319,10.51299685,202.293338,96.85232982,19.91684247,0.036355008,10.75713207,1.359520305,7.039636049,0.340923016,9.031848159,4.342784283,38.07398228,44.40823459,0.33457263,17.51778313,0.07521391,14.89030311,17.33565881,9.8,29.2
4,98,Summit, Utah,338,223.6224182,149.8265306,0.074418367,2.393877551,0.517734694,29.63061224,16.63979592,17.21122449,10.51326531,213.5498506,97.07501814,21.76257092,0.043536597,10.76816702,1.201421095,7.74236861,0.267402504,10.31548023,4.403423287,38.03923973,42.64504558,0.284985423,19.31571469,0.061635083,15.02799986,17.05415956,4.4,13.6
4,25,Sumner, Kansas,269.04,187.6479711,141.76,0.05188,2.164,0.615,20.888,15.74,11.312,9.64,190.6390119,94.02004267,17.6658985,0.028488024,10.42451884,1.338178901,6.751203819,0.551134325,10.18261344,3.944414723,36.37275799,45.7726092,0.257619048,17.85463281,0.073214286,18.71082225,17.04996509,12.2,34.3
